,2024-12-31
v0.0,64
v0.1,15
v0.3,64
v0.4,86
v0.5,8
v0.6,151
v0.7,49
v1.2,31
v1.5,9
v1.9,11
v1.10,27
v1.11,175
v1.12,47
v1.13,51
v1.14,457
v1.15,241
v1.16,1605
v1.17,182
v1.18,2596
v1.19,784
v1.20,3529
v1.21,1928
v1.22,5140
v1.23,4887
v1.24,65970
v1.25,41333
v1.26,43287
v1.27,76125
v1.28,97180
v1.29,267922
v1.30,956911
v1.31,197395
v1.32,14314
v1.33,263
v2.1,10
